     *ïΩï˚ç™ï\* è¨êîì_à»â∫ëÊéOà Ç‹Ç≈
   |   0|   1|   2|   3|   4|   5|   6|   7|   8|   9
1.0|1000|1004|1009|1014|1019|1024|1029|1034|1039|1044
1.1|1048|1053|1058|1063|1067|1072|1077|1081|1086|1090
1.2|1095|1099|1104|1109|1113|1118|1122|1126|1131|1135
1.3|1140|1144|1148|1153|1157|1161|1166|1170|1174|1178
1.4|1183|1187|1191|1195|1199|1204|1208|1212|1216|1220
1.5|1224|1228|1232|1236|1240|1244|1248|1252|1256|1260
1.6|1264|1268|1272|1276|1280|1284|1288|1292|1296|1300
1.7|1303|1307|1311|1315|1319|1322|1326|1330|1334|1337
1.8|1341|1345|1349|1352|1356|1360|1363|1367|1371|1374
1.9|1378|1382|1385|1389|1392|1396|1399|1403|1407|1410
2.0|1414|1417|1421|1424|1428|1431|1435|1438|1442|1445
2.1|1449|1452|1456|1459|1462|1466|1469|1473|1476|1479
2.2|1483|1486|1489|1493|1496|1499|1503|1506|1509|1513
2.3|1516|1519|1523|1526|1529|1532|1536|1539|1542|1545
2.4|1549|1552|1555|1558|1562|1565|1568|1571|1574|1577
2.5|1581|1584|1587|1590|1593|1596|1599|1603|1606|1609
2.6|1612|1615|1618|1621|1624|1627|1630|1634|1637|1640
2.7|1643|1646|1649|1652|1655|1658|1661|1664|1667|1670
2.8|1673|1676|1679|1682|1685|1688|1691|1694|1697|1699
2.9|1702|1705|1708|1711|1714|1717|1720|1723|1726|1729
3.0|1732|1734|1737|1740|1743|1746|1749|1752|1754|1757
3.1|1760|1763|1766|1769|1772|1774|1777|1780|1783|1786
3.2|1788|1791|1794|1797|1799|1802|1805|1808|1811|1813
3.3|1816|1819|1822|1824|1827|1830|1833|1835|1838|1841
3.4|1843|1846|1849|1852|1854|1857|1860|1862|1865|1868
3.5|1870|1873|1876|1878|1881|1884|1886|1889|1892|1894
3.6|1897|1899|1902|1905|1907|1910|1913|1915|1918|1920
3.7|1923|1926|1928|1931|1933|1936|1939|1941|1944|1946
3.8|1949|1951|1954|1957|1959|1962|1964|1967|1969|1972
3.9|1974|1977|1979|1982|1984|1987|1989|1992|1994|1997
4.0|2000|2002|2004|2007|2009|2012|2014|2017|2019|2022
4.1|2024|2027|2029|2032|2034|2037|2039|2042|2044|2046
4.2|2049|2051|2054|2056|2059|2061|2063|2066|2068|2071
4.3|2073|2076|2078|2080|2083|2085|2088|2090|2092|2095
4.4|2097|2100|2102|2104|2107|2109|2111|2114|2116|2118
4.5|2121|2123|2126|2128|2130|2133|2135|2137|2140|2142
4.6|2144|2147|2149|2151|2154|2156|2158|2161|2163|2165
4.7|2167|2170|2172|2174|2177|2179|2181|2184|2186|2188
4.8|2190|2193|2195|2197|2199|2202|2204|2206|2209|2211
4.8|2190|2193|2195|2197|2199|2202|2204|2206|2209|2211
4.9|2213|2215|2218|2220|2222|2224|2227|2229|2231|2233
5.0|2236|2238|2240|2242|2244|2247|2249|2251|2253|2256
5.1|2258|2260|2262|2264|2267|2269|2271|2273|2275|2278
5.2|2280|2282|2284|2286|2289|2291|2293|2295|2297|2299
5.3|2302|2304|2306|2308|2310|2313|2315|2317|2319|2321
5.4|2323|2325|2328|2330|2332|2334|2336|2338|2340|2343
5.5|2345|2347|2349|2351|2353|2355|2357|2360|2362|2364
